,收盘,换手率,成交均价,gain,loss,gain_llt,loss_llt,vnsp_llt
2009-03-06,2193.01,0.0032,783.7521592937738,0.10200983605449544,-0.002889253976812396,0.12126693415185259,0.02328849545244409,0.13024992164758226
2009-03-09,2118.75,0.0032,767.8421162635486,0.10527838227794369,-0.0013145916850514402,0.12130851036178938,0.023395237812824543,0.12896128242030702
2009-03-10,2158.57,0.0022,751.349663769523,0.08663415971644237,-0.005425743458688989,0.12082842768108615,0.023385204565472287,0.12778765859890967
2009-03-11,2139.02,0.0027,777.8877848739714,0.06956301630917892,-0.012462834655208033,0.11919117540468621,0.022984536835837364,0.12642719641174904
2009-03-12,2133.88,0.0023,745.2657669322969,0.08947693872248709,-0.0025446997675127162,0.11770779210342733,0.02266907502885054,0.12477477783536842
2009-03-13,2128.85,0.0022,780.6046448027232,0.06021002611429845,-0.01667330640630867,0.1159748922529535,0.02220460821859385,0.12291242406791576
2009-03-16,2153.29,0.002,746.7317052712084,0.08674505358939194,-0.0019519419487875654,0.11422071108661594,0.021755175346876616,0.12086942897393153
2009-03-17,2218.33,0.0034,781.1680777608166,0.0572254714695485,-0.01654226636870972,0.11243882222959499,0.02130559427189787,0.11870649211760988
2009-03-18,2223.73,0.0037,792.5819101655838,0.08311169033203313,-0.001854480263917518,0.11061022607151091,0.02085533637029767,0.11646289100109476
2009-03-19,2265.76,0.0036,824.9401616022693,0.0913230839564603,-0.00036887594505081057,0.10996488914701287,0.020927741005354373,0.11438028667178197
2009-03-20,2281.09,0.0038,834.3300549888282,0.12325933849770263,0.0,0.11064224942270683,0.021032087947070864,0.11287212081461094
2009-03-23,2325.48,0.004,889.2884080243163,0.12903608842988504,0.0,0.11249867525129928,0.021118892459241746,0.11223330501751698
2009-03-24,2338.42,0.0040999999999999,857.8811025101726,0.1789979764363134,0.0,0.11606255314776587,0.02117739580163085,0.11274021775622647
2009-03-25,2291.55,0.0036,852.6960653207046,0.14413680615402774,-0.000869968809758562,0.11992841278747639,0.021181070707749945,0.11443517823706743
2009-03-26,2361.7,0.004,830.7323666444056,0.13455570584656423,-0.0011551006749999314,0.12214451022862216,0.02112371003752019,0.11675749779042165
2009-03-27,2374.44,0.0046999999999999,812.7780176265746,0.10945057917952329,-0.0030732039917602686,0.12310823200013521,0.020974607933459025,0.11901871154890543
2009-03-30,2358.04,0.0034999999999999,848.3446738281082,0.08826309871404887,-0.005898055822120398,0.12250325744105275,0.020656070702041167,0.12072519617304274
2009-03-31,2373.21,0.0037,870.0765797107298,0.11854677687136812,-0.001455611904036822,0.1222076750187389,0.02038365300185655,0.12179011938603547
2009-04-01,2408.02,0.0046,861.7867229176911,0.13592854864873172,-0.0004924735020092161,0.12346093652938603,0.020278720859671945,0.12269913905658043
2009-04-02,2425.29,0.0046999999999999,859.8357818998252,0.1239525782705059,-0.0009018358944932555,0.12481321070105517,0.02017571818726113,0.12377652617525503
2009-04-03,2419.78,0.0043,863.19662560522,0.11774576276082624,-0.001040191164914509,0.1254925062426241,0.020039110385214463,0.1248741064275733
2009-04-07,2439.18,0.0031,878.6633381784292,0.11672637428730546,-0.0007994383981256069,0.12588801383610068,0.019892057937613384,0.12581599442101676
2009-04-08,2347.39,0.0038,852.2590664191159,0.12786507617366474,-0.0002515412381259554,0.12657777225442837,0.01975776328030769,0.12664194454150643
2009-04-09,2379.88,0.0029,858.7548373646573,0.09974816930363434,-0.002759769493385672,0.12666633932324822,0.019546580056174035,0.12732704029888942
2009-04-10,2444.23,0.004,914.1570501360852,0.10157314200357771,-0.0015984340761442534,0.12588040518340493,0.019282588715594302,0.12765087017651097
2009-04-13,2513.7,0.0048,913.329697126788,0.15157203618623702,0.0,0.12680326789608465,0.019102296184054443,0.12785535703554352
2009-04-14,2527.18,0.0040999999999999,925.4529697405322,0.14632918601509376,-1.913827557514058e-05,0.12912174242256322,0.018963594339574497,0.1285148170425819
2009-04-15,2536.06,0.0046,898.4192067772732,0.15282935134462897,0.0,0.13135287933080017,0.0188134428280066,0.12973769217124298
2009-04-16,2534.13,0.0046999999999999,879.9760683792937,0.12424792900756047,-0.0014073005897520079,0.13274166219483066,0.018607601092009173,0.13121055106061608
2009-04-17,2503.94,0.0040999999999999,901.12360055919,0.1035463133456064,-0.0034803178735144757,0.1324445091348289,0.018281103228195726,0.13242177723267928
2009-04-20,2557.46,0.0038,875.2490907825697,0.11873965893276336,-0.0011677121979315746,0.131967465320599,0.01796117618751751,0.13311104073746083
2009-04-21,2535.83,0.0042,871.5894738364753,0.09207973613990399,-0.004784799057409281,0.13112593259392608,0.017597658580222393,0.1333202860561179
2009-04-22,2461.35,0.005,845.7160701521781,0.0856093529164454,-0.00554782166610771,0.12923369733734097,0.017093037861739404,0.13293244215200095
2009-04-23,2463.95,0.0033,820.8653839717413,0.06270625522653453,-0.01439483262543684,0.12646492046823932,0.016284535798943216,0.13177510544403098
