,收盘,换手率,成交均价,gain,loss,gain_llt,loss_llt,vnsp_llt
2009-06-30,4363.72,0.0039,1444.1653598052662,0.011351589457400266,-0.020336218362070908,0.0556782703564263,-0.0013610556758315844,0.05748303587495032
2009-07-01,4398.17,0.004,1463.6451823358966,0.05472329308969951,-0.0003798262662071423,0.053500150735394145,-0.0016481616520354916,0.05457862129739833
2009-07-02,4450.11,0.0046,1533.8993710819166,0.06436977672250752,-5.1199885115997066e-05,0.05316457304671304,-0.0012664814881286574,0.05219846470306836
2009-07-03,4446.81,0.0044,1515.4780060945247,0.10522242298981234,0.0,0.054499637983840776,-0.0008959382195394012,0.05081582494514006
2009-07-06,4441.08,0.0044,1435.4754636463824,0.09222279714537082,-0.00023393996543813125,0.056686889358416793,-0.0005543013151190442,0.05060109375970033
2009-07-07,4458.18,0.0046999999999999,1460.6347456978858,0.042844599337539487,-0.0035687508714758696,0.05674984239679648,-0.0003502785969872834,0.05101281017286972
2009-07-08,4492.08,0.0045,1464.834699624025,0.056026642469242396,-0.0017708608732129633,0.055643295832476874,-0.00021106027269541942,0.0512958773741699
2009-07-09,4597.0,0.0059,1491.675125419799,0.05687449016849095,-0.0015675844922036575,0.05505767301614584,-1.8390254863298995e-05,0.05135367421930886
2009-07-10,4596.21,0.0056999999999999,1539.430421920796,0.07158679805294103,-0.0008317445061415067,0.0550173068175944,0.00019061648600686424,0.05141584722166703
2009-07-13,4630.12,0.0056999999999999,1527.05023072231,0.09768486162252306,0.0,0.05631652572593967,0.00043562295324281236,0.051795702942621244
2009-07-14,4708.33,0.0056,1504.0102014186475,0.08862796455258044,-0.0002803744944236459,0.05811653630988307,0.0006818409868469355,0.05271592144078784
2009-07-15,4707.92,0.0064,1517.7315376910751,0.07419467296539142,-0.0014508916297616174,0.059074258299215164,0.0008641142937102953,0.053959438180432556
2009-07-16,4679.31,0.0065,1527.0644974742163,0.07994691836344908,-0.0006912536452266561,0.05971192879043238,0.0010194107233047534,0.055222135848312155
2009-07-17,4688.12,0.0054,1573.0921965678117,0.08248154591087667,-0.00027621222388158234,0.060596604435104985,0.001200641883231278,0.05646965464432253
2009-07-20,4793.68,0.0068,1559.88746796657,0.10626516495285573,0.0,0.06230220353944031,0.001390851466543698,0.057876324084151144
2009-07-21,4649.77,0.0060999999999999,1544.7291848718678,0.09583964554734707,-0.00019323419637633376,0.06436664996399659,0.0015698474543224489,0.059590635925844154
2009-07-22,4710.94,0.0051,1569.7499590762482,0.08357914828438552,-0.0006965422071854514,0.06559967146578102,0.0017128567443461921,0.06143452877154967
