,收盘,换手率,成交均价,gain,loss,gain_llt,loss_llt,vnsp_llt
2017-11-17,1833.9,0.0109,1791.2735674490327,0.05490013880458991,-0.01103892495494835,0.10950865006247441,0.011853438617216567,0.11213995286757426
2017-11-20,1859.75,0.0077,1818.432953369012,0.007072777402891168,-0.06490948214938383,0.10522096225808023,0.009524987885061596,0.11128145567592383
2017-11-21,1856.96,0.0081,1936.242419332156,0.008727808018925488,-0.051454359626807625,0.09962858620627185,0.005981423961472417,0.1088482076525573
2017-11-22,1853.38,0.0084,1910.0375046007075,0.037102504670998765,-0.017312402893955223,0.09527481646402906,0.004145209823470443,0.1052701310011525
2017-11-23,1794.78,0.0081,1917.7836505159864,0.02723101530028978,-0.02255918121531451,0.09172576431885886,0.0033256292830432434,0.10124145053221575
2017-11-24,1782.66,0.0067,1906.3993643643275,0.028194935372699848,-0.02063894225645975,0.08805193942776383,0.0024257322635751325,0.09703360787522318
2017-11-27,1760.9,0.0066,1847.3507149862644,0.023441208470438978,-0.023167444972734708,0.08442697115883643,0.001538271738067423,0.09271263587733738
2017-11-28,1793.87,0.0065,1796.3334116205278,0.008366685835977508,-0.04132356821885252,0.08032802777398593,1.022667164642891e-05,0.08826469650955764
2017-11-29,1787.38,0.0069999999999999,1813.3445700405528,0.0020915175239298914,-0.06523033329551887,0.07572995444701056,-0.0028217425023224305,0.08358414295439198
2017-11-30,1770.3,0.0063,1876.086880609356,0.003478010631745452,-0.05641137925625523,0.07119369366711763,-0.006015918977229924,0.07868835351464085
2017-12-01,1804.62,0.0074,1778.3097520395077,0.013829002699775762,-0.031264019016997185,0.06725815919066316,-0.00795846776267644,0.07377825780171784
2017-12-04,1797.77,0.0072,1871.1309049158708,0.0010970666413929948,-0.07412337520509665,0.06343603923756715,-0.010390255120226812,0.06900857453104584
2017-12-05,1758.59,0.0078,1713.8211996946711,0.013068990412110007,-0.032393689759121914,0.05977555736124285,-0.012747405273248372,0.06441601293091934
2017-12-06,1784.31,0.0072,1733.322496264847,0.0,-0.11415504376753356,0.05625885416574932,-0.016297826151388216,0.060034959784577166
2017-12-07,1776.99,0.0067,1781.068025650932,0.00027204656037676503,-0.10081776392979386,0.05249938857439982,-0.021905521452087996,0.05583483442591449
2017-12-08,1792.16,0.0070999999999999,1826.0904408848528,0.002145784504545991,-0.07238188033073534,0.04899589132645185,-0.0258851393224104,0.051797053958348285
2017-12-11,1816.98,0.0078,1774.8282833317828,0.006730429010574723,-0.05007750257859276,0.045877009964772494,-0.02802336477640888,0.04798206684329299
2017-12-12,1798.69,0.0073,1812.6220913668003,0.0017923009693834307,-0.07515658414803972,0.0429032520661997,-0.0301496016143491,0.04441832281091115
2017-12-13,1806.09,0.0065,1774.198999658022,0.005524818951626927,-0.0556963476940837,0.04004055450899211,-0.03235631498678666,0.04109221604722978
2017-12-14,1794.34,0.0066,1814.2680550966263,0.001757796020903809,-0.07513621717874386,0.037322265534630486,-0.03445558546512781,0.03799020951724162
2017-12-15,1783.97,0.0070999999999999,1779.0975359214576,0.005026825938303306,-0.0550653396067484,0.03472690275404504,-0.036432218452073006,0.035099893046762365
2017-12-18,1780.64,0.0062,1820.4582850493657,0.0014375780405125795,-0.07274365457359983,0.03225484078630974,-0.03823437743946791,0.03240538464681306
2017-12-19,1798.5,0.0062,1771.1252092924817,0.005224376810492784,-0.0520712388548275,0.029917449061144664,-0.03985053162456387,0.029894165752462135
2017-12-20,1782.41,0.0065,1748.6147094357584,0.0010055850451781761,-0.07659156915680736,0.027688188745563457,-0.04151182107450897,0.02755571943387005
2017-12-21,1789.74,0.0070999999999999,1792.036026725057,0.0005206906215591388,-0.08904577134772655,0.025423342193918723,-0.044292832990291006,0.02537117553332502
2017-12-22,1779.34,0.0064,1823.3206751499456,0.002893056681386762,-0.06384361383971884,0.023339443350667906,-0.04652134769991677,0.023330662456927918
2017-12-25,1755.81,0.0070999999999999,1686.3794269148475,0.007046819774714547,-0.049135016575360055,0.021578916469555013,-0.047340469375898,0.021448886988075178
2017-12-26,1758.82,0.0064,1833.2729634283075,0.0,-0.1263724355242616,0.019820010303318036,-0.05014991451463676,0.01974546812192646
2017-12-27,1745.24,0.0066,1836.999274618994,0.010397279959437787,-0.044194207407435966,0.018265983674996822,-0.05265791125335524,0.018232626628215197
