,收盘,换手率,成交均价,gain,loss,gain_llt,loss_llt,vnsp_llt
2018-01-23,4382.61,0.0069,1273.6733319996538,0.02127933511668866,-0.021277253199639103,0.03343339832319048,-0.026624445658570094,0.03459451006929709
2018-01-24,4389.89,0.0075,1294.1144802250617,0.00437725121857768,-0.05764159979828874,0.03173021810384877,-0.0276285454097083,0.033119376933450254
2018-01-25,4365.08,0.0067,1281.1677848362854,0.006774127235079713,-0.04338755907627952,0.02964488937583263,-0.029299585928155656,0.03150690871597897
2018-01-26,4381.3,0.0060999999999999,1260.141006318013,0.00466529071992207,-0.05088705175845424,0.027677554432764227,-0.03066600670373528,0.0297545842387986
2018-01-29,4302.02,0.0065,1340.5329603286189,0.0025952821451312932,-0.06568280718592505,0.025677617702174083,-0.03268700131161335,0.027923036825342848
2018-01-30,4256.1,0.0048,1342.4744162733614,0.020383231350992254,-0.019575181118772652,0.02429409223377758,-0.033586957666159004,0.02613435181099639
2018-01-31,4275.9,0.005,1338.7616691264234,0.019745885060736983,-0.018722390004469472,0.023543743256448153,-0.03291152249743072,0.024567521266294415
2018-02-01,4245.9,0.0065,1259.0873999872024,0.017694489274288627,-0.01984900941301453,0.022750617934876743,-0.032273761802326405,0.023250873390938502
2018-02-02,4271.23,0.005,1308.783609606195,0.0014576450894400956,-0.06783970161752989,0.021409616052590678,-0.03326037762526321,0.022034793888477386
2018-02-05,4274.15,0.0055,1347.1528448429594,0.008996222767818592,-0.03330539514002265,0.01985953489295521,-0.03463231212248735,0.02078335284604943
2018-02-06,4148.89,0.0073,1300.1465573584414,0.021906394047010315,-0.016794066755480636,0.01905865762967051,-0.0342729848211045,0.01958265382835173
2018-02-07,4050.5,0.0069,1287.4034089713302,0.006938059923624244,-0.03720558128933526,0.01823863052552362,-0.03405374568443687,0.018525824888196943
2018-02-08,4012.05,0.0054,1249.8385696463774,0.004565445184988444,-0.043871297002738126,0.016903496213241755,-0.034721565555044236,0.017492339559059687
2018-02-09,3840.65,0.0070999999999999,1195.9051783658128,0.0009319776773055492,-0.06968179710563409,0.015447181924745795,-0.0364086310153292,0.0163865312908529
2018-02-12,3890.1,0.004,1289.84884863778,0.0,-0.11395500904293998,0.013922687759840544,-0.04028776987269867,0.01523626681103111
2018-02-13,3935.63,0.0038,1283.5092522037205,0.007533971979649308,-0.03648309908306563,0.01269674052169587,-0.04289254343748735,0.014108656767192598
2018-02-14,3966.96,0.0024,1309.910641497623,0.006346582728987885,-0.040027574364916406,0.011746645159185373,-0.04296007991302903,0.01304558582552742
2018-02-22,4052.73,0.0036,1307.365180770258,0.013401063210795754,-0.02501032094663045,0.011043449945761617,-0.04264512945457587,0.012077014169695782
2018-02-23,4071.09,0.0034,1288.9347364892903,0.012680458290757545,-0.02498473969312615,0.010590318501833248,-0.0418504424703358,0.011249634278079469
2018-02-26,4118.42,0.0046999999999999,1298.3158965026662,0.00753494426712182,-0.03350581105994777,0.009978292385331388,-0.041365152833939635,0.010536947483480852
2018-02-27,4058.98,0.0043,1347.4063394669174,0.010081678472047256,-0.028112626355944484,0.009321372838426663,-0.04099984822552156,0.009876278903025209
2018-02-28,4023.64,0.0037,1394.630483452286,0.031016427580614295,-0.010817579108130757,0.009469846445597282,-0.039909371491809245,0.009373817293710257
2018-03-01,4049.09,0.0038,1324.89702436261,0.05683167013028033,-0.0042983621361266785,0.011140876395484424,-0.03809285642712512,0.009368168417620837
2018-03-02,4016.46,0.0033,1361.5263299537253,0.01949165688730446,-0.017621095560698897,0.012364604073932825,-0.036581917702958315,0.009903902506049193
2018-03-05,4018.1,0.003,1343.8821386277518,0.037716063486024104,-0.008938785690670654,0.01291553013748115,-0.0352917873067898,0.010642080033632708
