,收盘,signal
2011-10-17,832.29,-1.0
2011-10-18,806.6,-1.0
2011-10-19,804.44,-1.0
2011-10-20,778.95,-1.0
2011-10-21,763.3,-1.0
2011-10-24,772.41,-1.0
2011-10-25,797.86,-1.0
2011-10-26,811.13,-1.0
2011-10-27,810.92,-1.0
2011-10-28,833.42,-1.0
2011-10-31,852.8,-1.0
2011-11-01,853.36,-1.0
2011-11-02,881.05,-1.0
2011-11-03,877.66,-1.0
2011-11-04,882.25,-1.0
2011-11-07,878.76,-1.0
2011-11-08,862.36,-1.0
2011-11-09,891.12,-1.0
2011-11-10,895.27,-1.0
2011-11-11,891.19,-1.0
2011-11-14,915.98,-1.0
2011-11-15,920.97,-1.0
2011-11-16,893.51,-1.0
2011-11-17,898.34,-1.0
2011-11-18,869.19,1.0
2011-11-21,863.13,1.0
2011-11-22,868.43,1.0
2011-11-23,864.81,1.0
2011-11-24,868.14,1.0
2011-11-25,863.5,1.0
2011-11-28,866.84,1.0
2011-11-29,880.31,1.0
2011-11-30,838.11,1.0
2011-12-01,852.87,1.0
2011-12-02,829.18,1.0
2011-12-05,792.5,-1.0
2011-12-06,798.1,-1.0
2011-12-07,802.63,-1.0
2011-12-08,809.43,-1.0
2011-12-09,798.84,-1.0
2011-12-12,790.79,-1.0
2011-12-13,768.92,-1.0
2011-12-14,755.76,-1.0
2011-12-15,746.56,-1.0
2011-12-16,778.78,-1.0
2011-12-19,793.44,-1.0
2011-12-20,781.42,-1.0
2011-12-21,761.34,-1.0
2011-12-22,757.9,-1.0
2011-12-23,761.44,-1.0
2011-12-26,753.05,-1.0
2011-12-27,727.17,-1.0
2011-12-28,717.55,-1.0
2011-12-29,716.55,-1.0
2011-12-30,729.5,-1.0
2012-01-04,707.11,-1.0
2012-01-05,666.91,-1.0
2012-01-06,669.02,-1.0
2012-01-09,692.42,1.0
2012-01-10,716.45,1.0
2012-01-11,717.94,1.0
2012-01-12,709.89,1.0
2012-01-13,666.08,1.0
2012-01-16,633.91,1.0
2012-01-17,662.69,1.0
2012-01-18,624.91,1.0
2012-01-19,632.8,1.0
2012-01-20,646.38,1.0
2012-01-30,651.25,1.0
2012-01-31,648.68,1.0
2012-02-01,650.78,1.0
2012-02-02,665.4,1.0
2012-02-03,680.05,1.0
2012-02-06,686.51,1.0
2012-02-07,673.68,1.0
2012-02-08,692.3,1.0
2012-02-09,697.79,1.0
2012-02-10,698.85,1.0
2012-02-13,714.96,1.0
2012-02-14,712.3,1.0
2012-02-15,724.75,1.0
2012-02-16,721.83,-1.0
2012-02-17,717.8,-1.0
2012-02-20,721.1,-1.0
2012-02-21,736.88,-1.0
2012-02-22,759.56,-1.0
2012-02-23,756.9,-1.0
2012-02-24,762.29,1.0
2012-02-27,760.37,1.0
2012-02-28,747.77,1.0
2012-02-29,735.34,1.0
2012-03-01,743.15,1.0
2012-03-02,757.67,1.0
2012-03-05,759.37,1.0
2012-03-06,750.84,1.0
2012-03-07,749.27,1.0
2012-03-08,761.7,1.0
2012-03-09,777.69,1.0
